# EulerBlock derivatives output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil

# Grid size (ii, jj)
      61      49

# Derivatives with respect to the following function (f)
cl_jlow 

# df/dMach_inf
-5.47560296E+00

# df/dalpha_inf [rad]
 1.14429505E+01

# Nodal derivatives
# i, j, X, Y, df/dX, df/dY
      14 ,        2 ,  6.04417514E-01 , -5.89396940E-02 ,  8.13818792E-03 , -2.30967800E-01
      15 ,        2 ,  5.52627612E-01 , -6.35363518E-02 ,  1.93443701E-03 ,  2.37422975E-02
      16 ,        2 ,  5.00268822E-01 , -6.69281557E-02 ,  2.16792590E-03 , -6.21367694E-04
      17 ,        2 ,  4.47922329E-01 , -6.91664304E-02 ,  1.13793876E-03 ,  7.26573029E-04
      18 ,        2 ,  3.96165473E-01 , -7.04086343E-02 ,  1.89382213E-04 ,  1.88328328E-03
      19 ,        2 ,  3.45564356E-01 , -7.08584906E-02 ,  6.90691727E-04 ,  3.49542833E-03
      20 ,        2 ,  2.96667114E-01 , -7.06981049E-02 ,  9.56522104E-04 , -3.52033001E-03
      21 ,        2 ,  2.49997892E-01 , -7.00276207E-02 ,  1.21981324E-04 , -1.16132586E-02
      22 ,        2 ,  2.06051462E-01 , -6.88262211E-02 , -4.20346191E-03 , -1.98323411E-02
      23 ,        2 ,  1.65288316E-01 , -6.69434356E-02 , -1.67867132E-02 , -1.02216155E-02
      24 ,        2 ,  1.28130026E-01 , -6.41227585E-02 , -2.93665714E-02 , -2.42630166E-02
      25 ,        2 ,  9.49548462E-02 , -6.00518489E-02 , -2.27535653E-02 , -2.53621619E-02
      26 ,        2 ,  6.60944133E-02 , -5.44265041E-02 , -1.03356553E-02 ,  5.47586820E-03
      27 ,        2 ,  4.18355621E-02 , -4.70114361E-02 , -1.70810273E-03 ,  5.81754715E-02
      28 ,        2 ,  2.24385927E-02 , -3.76862672E-02 , -3.44435459E-02 , -8.13417817E-02
      29 ,        2 ,  8.18587057E-03 , -2.64949365E-02 ,  2.08200142E-01 ,  2.26643457E-02
      30 ,        2 , -5.62710354E-04 , -1.37588592E-02 , -3.76147168E-01 ,  6.66103788E-01
      31 ,        2 , -3.00896318E-03 , -3.97918329E-04 ,  4.66371995E-01 ,  1.24574030E+00
      32 ,        2 ,  4.45471105E-04 ,  8.39783935E-03 ,  2.27607913E-01 ,  7.38673879E-01
      33 ,        2 ,  9.17148355E-03 ,  1.62932590E-02 ,  4.15583684E-01 , -2.63205392E-01
      34 ,        2 ,  2.33104510E-02 ,  2.28467958E-02 ,  3.08638799E-01 , -1.71676100E-01
      35 ,        2 ,  4.24740768E-02 ,  2.83005291E-02 ,  1.41498287E-01 , -3.10190510E-02
      36 ,        2 ,  6.64831175E-02 ,  3.29029474E-02 ,  3.43513534E-02 , -4.17434445E-02
      37 ,        2 ,  9.51342761E-02 ,  3.68385184E-02 ,  2.57541947E-03 , -1.81680160E-02
      38 ,        2 ,  1.28151896E-01 ,  4.02870356E-02 ,  9.05280092E-03 , -1.57661053E-01
      39 ,        2 ,  1.65198421E-01 ,  4.34306372E-02 , -1.30532623E-03 ,  6.44101087E-04
      40 ,        2 ,  2.05885989E-01 ,  4.64231367E-02 , -8.89059337E-05 ,  1.11446215E-04
      41 ,        2 ,  2.49783772E-01 ,  4.93508590E-02 , -8.26351471E-03 ,  1.35833886E-01
      42 ,        2 ,  2.96423358E-01 ,  5.22031990E-02 ,  5.70410312E-04 ,  2.53725682E-04
      43 ,        2 ,  3.45303665E-01 ,  5.48627719E-02 , -2.98294777E-04 , -4.84125314E-03
      44 ,        2 ,  3.95896001E-01 ,  5.71188367E-02 , -4.20181349E-04 , -2.52992581E-03
      45 ,        2 ,  4.47649524E-01 ,  5.87021653E-02 ,  6.67234678E-04 , -7.12835234E-03
      46 ,        2 ,  4.99997185E-01 ,  5.93347887E-02 ,  1.69463081E-03 , -1.00332809E-02
      47 ,        2 ,  5.52362167E-01 ,  5.87847890E-02 ,  5.22295949E-03 , -1.81392106E-02
      48 ,        2 ,  6.04164800E-01 ,  5.69151371E-02 ,  6.21122427E-03 , -2.46396443E-02
      49 ,        2 ,  6.54829854E-01 ,  5.37167570E-02 ,  4.11602650E-03 , -2.90265000E-02
      50 ,        2 ,  7.03793992E-01 ,  4.93192693E-02 ,  1.72425924E-03 , -2.98110980E-02
      51 ,        2 ,  7.50513087E-01 ,  4.39775294E-02 ,  6.79932254E-04 , -2.75714797E-02
      52 ,        2 ,  7.94469055E-01 ,  3.80370947E-02 , -5.39821196E-03 , -3.23078068E-02
      53 ,        2 ,  8.35175966E-01 ,  3.18860039E-02 ,  2.35771732E-02 , -3.04190373E-02
      54 ,        2 ,  8.72185280E-01 ,  2.59028043E-02 , -1.02016660E-01 , -8.70310812E-01
      55 ,        2 ,  9.05090181E-01 ,  2.04109691E-02 ,  7.65577879E-02 ,  1.33762801E-01
      56 ,        2 ,  9.33529575E-01 ,  1.56469326E-02 , -1.17395102E-02 ,  2.92184027E-01
      57 ,        2 ,  9.57195653E-01 ,  1.17400495E-02 , -4.35614415E-03 , -7.47334369E-02
      58 ,        2 ,  9.75860316E-01 ,  8.68018109E-03 ,  1.09470738E-02 ,  1.30820371E-01
      59 ,        2 ,  9.89443946E-01 ,  6.21548214E-03 , -1.30173037E-01 , -2.93208016E-01
      60 ,        2 ,  9.97995127E-01 ,  3.67344781E-03 , -9.86069321E-01 , -6.24888315E-01
      61 ,        2 ,  1.00059721E+00 , -3.55579690E-05 , -3.49710529E+00 ,  4.58350232E+00
       1 ,        3 ,  1.00313512E+00 , -1.32304349E-04 ,  6.30026043E-01 , -3.06473125E+00
       2 ,        3 ,  1.00014827E+00 , -6.42457348E-03 ,  1.81128781E-01 , -2.48616048E-01
       3 ,        3 ,  9.89792432E-01 , -9.80071298E-03 ,  1.86307529E-02 ,  1.04881294E-02
       4 ,        3 ,  9.75587054E-01 , -1.20298889E-02 , -1.28842511E-02 ,  1.47705164E-02
       5 ,        3 ,  9.56940917E-01 , -1.41470406E-02 , -3.83641627E-03 ,  1.82476417E-03
       6 ,        3 ,  9.33521847E-01 , -1.68871368E-02 , -8.91490118E-04 , -2.70999048E-03
       7 ,        3 ,  9.05357971E-01 , -2.06351404E-02 , -5.08756910E-05 , -3.02725984E-04
       8 ,        3 ,  8.72690986E-01 , -2.55082476E-02 ,  1.38319356E-04 ,  3.54608237E-04
       9 ,        3 ,  8.35863263E-01 , -3.14190200E-02 , -1.44713072E-04 ,  3.77683818E-04
      10 ,        3 ,  7.95276691E-01 , -3.81134185E-02 , -2.85400709E-04 ,  1.09879434E-03
      11 ,        3 ,  7.51380743E-01 , -4.52119127E-02 , -3.98804913E-06 , -3.05918731E-03
      12 ,        3 ,  7.04666875E-01 , -5.22675030E-02 ,  2.16393986E-03 , -7.11411017E-03
      13 ,        3 ,  6.55662888E-01 , -5.88360644E-02 ,  1.28067238E-02 , -6.49380596E-03
      14 ,        3 ,  6.04925962E-01 , -6.45456328E-02 , -1.83060370E-03 ,  1.55347092E-02
      15 ,        3 ,  5.53034254E-01 , -6.91497900E-02 ,  1.22378955E-03 ,  7.99453253E-04
      16 ,        3 ,  5.00577362E-01 , -7.25534828E-02 ,  3.81047303E-05 , -5.46020329E-04
      17 ,        3 ,  4.48146299E-01 , -7.48057920E-02 , -2.22392108E-04 , -1.28003438E-03
      18 ,        3 ,  3.96323826E-01 , -7.60617210E-02 , -1.61499544E-04 , -1.81843274E-03
      19 ,        3 ,  3.45675775E-01 , -7.65221396E-02 , -4.06178876E-05 , -3.94652270E-03
      20 ,        3 ,  2.96743700E-01 , -7.63658899E-02 , -6.91082058E-05 , -7.80625958E-04
      21 ,        3 ,  2.50038841E-01 , -7.56895957E-02 , -2.88320951E-04 , -1.42088565E-03
      22 ,        3 ,  2.06037153E-01 , -7.44686652E-02 , -9.99957734E-04 , -6.98696662E-04
      23 ,        3 ,  1.65174929E-01 , -7.25478238E-02 , -1.46890896E-03 , -7.95337078E-04
      24 ,        3 ,  1.27844391E-01 , -6.96623175E-02 ,  6.32702745E-04 , -9.92356625E-04
      25 ,        3 ,  9.43891022E-02 , -6.54829645E-02 , -3.06609336E-03 ,  5.67209856E-03
      26 ,        3 ,  6.51012895E-02 , -5.96710317E-02 ,  1.59641357E-02 ,  1.56442505E-02
      27 ,        3 ,  4.02302632E-02 , -5.19257224E-02 ,  2.46676151E-02 ,  3.33593239E-03
      28 ,        3 ,  2.00256809E-02 , -4.20168051E-02 ,  2.21739603E-02 , -9.93085516E-02
      29 ,        3 ,  4.84832617E-03 , -2.98350931E-02 ,  1.48550911E-01 , -6.96639004E-02
      30 ,        3 , -4.63830674E-03 , -1.55659154E-02 , -1.73570821E-01 ,  5.48113474E-01
      31 ,        3 , -7.30822307E-03 , -3.19632216E-04 ,  1.31640876E-01 ,  3.41048792E-01
      32 ,        3 , -3.13088013E-03 ,  1.08353196E-02 , -6.68026542E-01 ,  7.98128149E-02
      33 ,        3 ,  6.75923386E-03 ,  2.02573767E-02 , -2.87487563E-01 , -3.62546620E-01
      34 ,        3 ,  2.18511235E-02 ,  2.76800266E-02 , -3.22313883E-01 , -9.55140502E-02
      35 ,        3 ,  4.16189501E-02 ,  3.35733012E-02 , -7.72551853E-02 , -1.18771866E-01
      36 ,        3 ,  6.59697270E-02 ,  3.83855011E-02 ,  2.34211076E-02 , -9.41556265E-02
      37 ,        3 ,  9.48037882E-02 ,  4.24234993E-02 ,  8.03277301E-03 , -4.52684234E-02
      38 ,        3 ,  1.27912354E-01 ,  4.59259077E-02 , -4.86141805E-04 , -7.57181310E-03
      39 ,        3 ,  1.64996040E-01 ,  4.90988400E-02 ,  2.19935800E-04 , -4.63277132E-03
      40 ,        3 ,  2.05691312E-01 ,  5.21054084E-02 , -1.04089892E-04 , -2.36701844E-03
      41 ,        3 ,  2.49585539E-01 ,  5.50362177E-02 ,  6.26892434E-05 , -8.96455945E-04
      42 ,        3 ,  2.96224884E-01 ,  5.78836346E-02 ,  5.97492450E-03 , -1.01840232E-01
      43 ,        3 ,  3.45119476E-01 ,  6.05330247E-02 ,  7.20368512E-05 ,  1.13769264E-02
      44 ,        3 ,  3.95748085E-01 ,  6.27762252E-02 ,  1.72335578E-03 ,  1.73932796E-02
      45 ,        3 ,  4.47563196E-01 ,  6.43461603E-02 ,  3.01568418E-03 ,  2.91427297E-02
      46 ,        3 ,  4.99996825E-01 ,  6.49664129E-02 ,  4.55319024E-03 ,  3.37365938E-02
      47 ,        3 ,  5.52467241E-01 ,  6.44060736E-02 ,  4.92221844E-03 ,  3.44141881E-02
      48 ,        3 ,  6.04386606E-01 ,  6.25288377E-02 ,  4.82756798E-03 ,  3.54528813E-02
      49 ,        3 ,  6.55169410E-01 ,  5.93263740E-02 ,  3.50604996E-03 ,  3.36744243E-02
      50 ,        3 ,  7.04241307E-01 ,  5.49292348E-02 ,  2.38196236E-03 ,  2.69041975E-02
      51 ,        3 ,  7.51047785E-01 ,  4.95933259E-02 ,  1.32931071E-03 ,  1.50056952E-02
      52 ,        3 ,  7.95062018E-01 ,  4.36651172E-02 , -1.25583919E-03 ,  1.29561680E-02
      53 ,        3 ,  8.35791459E-01 ,  3.75331126E-02 , -3.50540910E-02 , -5.97429844E-02
      54 ,        3 ,  8.72783071E-01 ,  3.15754128E-02 ,  5.67474840E-01 ,  1.83655492E+00
      55 ,        3 ,  9.05628245E-01 ,  2.61120556E-02 , -3.61868920E-01 , -1.50102566E+00
      56 ,        3 ,  9.33973160E-01 ,  2.13632064E-02 , -1.18800976E-01 , -8.63863504E-02
      57 ,        3 ,  9.57555410E-01 ,  1.73961889E-02 ,  5.56972400E-03 , -7.49312323E-02
      58 ,        3 ,  9.76307751E-01 ,  1.40271575E-02 ,  9.11273700E-03 ,  1.24678158E-01
      59 ,        3 ,  9.90498305E-01 ,  1.06831754E-02 , -3.31895019E-02 ,  2.06060728E-02
      60 ,        3 ,  1.00064386E+00 ,  6.42144924E-03 , -1.33264094E-01 ,  4.69414702E-01
      61 ,        3 ,  1.00313512E+00 , -1.32304349E-04 , -1.23507210E+00 , -3.95298707E+00
       1 ,        4 ,  1.00565241E+00 , -2.19981501E-04 ,  1.77598436E-01 , -2.73483403E+00
       2 ,        4 ,  1.00362179E+00 , -9.63016968E-03 ,  1.30818876E-01 , -3.44364421E-02
       3 ,        4 ,  9.91276319E-01 , -1.47735126E-02 ,  7.50705951E-02 ,  1.79966682E-03
       4 ,        4 ,  9.76043389E-01 , -1.79448491E-02 ,  8.17221520E-03 , -6.13081012E-04
       5 ,        4 ,  9.57050305E-01 , -2.05438429E-02 , -2.95200430E-03 , -9.72552966E-03
       6 ,        4 ,  9.33679696E-01 , -2.34672294E-02 , -2.47459682E-03 , -6.95466268E-03
       7 ,        4 ,  9.05699588E-01 , -2.72405651E-02 ,  2.25800437E-05 , -2.87405285E-03
       8 ,        4 ,  8.73215965E-01 , -3.20767686E-02 ,  2.59792879E-04 , -1.63661431E-03
       9 ,        4 ,  8.36523789E-01 , -3.79345565E-02 , -7.27900185E-06 , -1.21953412E-03
      10 ,        4 ,  7.96014001E-01 , -4.45784412E-02 , -3.63753283E-04 , -4.86119714E-05
      11 ,        4 ,  7.52137693E-01 , -5.16363231E-02 , -3.25057261E-04 , -1.28028852E-03
      12 ,        4 ,  7.05393478E-01 , -5.86640872E-02 ,  1.37624553E-03 , -6.75072298E-03
      13 ,        4 ,  6.56320072E-01 , -6.52179892E-02 ,  9.88176423E-03 , -1.36959866E-02
      14 ,        4 ,  6.05488274E-01 , -7.09248179E-02 ,  3.27432903E-04 ,  1.82234962E-02
      15 ,        4 ,  5.53491084E-01 , -7.55359342E-02 , -1.69638141E-03 ,  5.08673089E-03
      16 ,        4 ,  5.00932152E-01 , -7.89535337E-02 , -1.28728466E-03 ,  1.20505855E-03
      17 ,        4 ,  4.48413550E-01 , -8.12235535E-02 , -7.92776175E-04 ,  6.10301185E-04
      18 ,        4 ,  3.96524101E-01 , -8.24973673E-02 , -2.32335111E-04 ,  3.79729559E-04
      19 ,        4 ,  3.45829267E-01 , -8.29716367E-02 , -1.48146829E-04 , -6.12007235E-05
      20 ,        4 ,  2.96863063E-01 , -8.28205131E-02 , -1.37540204E-04 , -1.28288402E-04
      21 ,        4 ,  2.50121955E-01 , -8.21356904E-02 , -2.58030953E-04 , -1.06348726E-03
      22 ,        4 ,  2.06060257E-01 , -8.08873889E-02 , -5.41559373E-04 , -2.44276960E-04
      23 ,        4 ,  1.65086171E-01 , -7.89138624E-02 ,  8.78570055E-04 , -6.64740875E-03
      24 ,        4 ,  1.27557495E-01 , -7.59395894E-02 ,  6.05347906E-03 , -9.16213160E-03
      25 ,        4 ,  9.37771197E-02 , -7.16142733E-02 ,  9.43604648E-03 , -1.23317624E-02
      26 ,        4 ,  6.39929062E-02 , -6.55579617E-02 ,  2.28458221E-02 , -3.98544189E-03
      27 ,        4 ,  3.84178398E-02 , -5.73961293E-02 ,  1.88733318E-02 , -4.29054575E-03
      28 ,        4 ,  1.73050097E-02 , -4.67829078E-02 ,  4.61855821E-02 , -4.05744781E-02
      29 ,        4 ,  1.11996062E-03 , -3.34609077E-02 ,  8.63080754E-02 , -2.55365929E-03
      30 ,        4 , -9.19275998E-03 , -1.75146378E-02 , -1.81767432E-01 ,  2.62787494E-01
      31 ,        4 , -1.20687671E-02 , -2.24149219E-04 ,  1.62293779E-01 , -2.80110142E-01
      32 ,        4 , -7.16453389E-03 ,  1.34431966E-02 , -4.39571247E-02 , -1.96794679E-01
      33 ,        4 ,  3.92729619E-03 ,  2.45642584E-02 ,  6.76599111E-03 , -2.57801678E-02
      34 ,        4 ,  2.01012919E-02 ,  3.30052475E-02 , -7.59879238E-02 , -5.39376825E-02
      35 ,        4 ,  4.06184027E-02 ,  3.94612778E-02 , -1.01675582E-01 , -5.00252483E-02
      36 ,        4 ,  6.54114346E-02 ,  4.45687366E-02 ,  9.84205278E-03 , -5.29462611E-02
      37 ,        4 ,  9.44789766E-02 ,  4.87588085E-02 ,  5.21795667E-03 , -2.78091166E-02
      38 ,        4 ,  1.27697032E-01 ,  5.23411846E-02 , -1.11474531E-04 ,  1.35536812E-03
      39 ,        4 ,  1.64820354E-01 ,  5.55565635E-02 ,  2.99757391E-05 ,  1.49071820E-03
      40 ,        4 ,  2.05518762E-01 ,  5.85831157E-02 ,  3.83208990E-05 ,  1.03009913E-03
      41 ,        4 ,  2.49402435E-01 ,  6.15183476E-02 ,  3.32879807E-04 ,  3.41030119E-05
      42 ,        4 ,  2.96034668E-01 ,  6.43589522E-02 ,  1.79454350E-03 , -2.85741912E-02
      43 ,        4 ,  3.44938384E-01 ,  6.69940709E-02 ,  3.51065652E-04 , -2.66419234E-03
      44 ,        4 ,  3.95600748E-01 ,  6.92191131E-02 ,  9.32913052E-04 , -1.03903845E-03
      45 ,        4 ,  4.47477916E-01 ,  7.07701410E-02 ,  1.72180486E-03 , -2.56584330E-04
      46 ,        4 ,  5.00000765E-01 ,  7.13732025E-02 ,  1.45191758E-03 , -3.96760612E-04
      47 ,        4 ,  5.52581933E-01 ,  7.07991682E-02 ,  1.46247912E-05 ,  1.22911896E-03
      48 ,        4 ,  6.04624289E-01 ,  6.89130412E-02 , -9.40474661E-04 ,  1.42439950E-03
      49 ,        4 ,  6.55530626E-01 ,  6.57076084E-02 , -1.13529958E-03 ,  6.29196227E-05
      50 ,        4 ,  7.04714020E-01 ,  6.13145145E-02 , -1.38453052E-03 , -2.81784247E-03
      51 ,        4 ,  7.51607962E-01 ,  5.59906723E-02 , -4.45973320E-04 , -5.62009603E-03
      52 ,        4 ,  7.95675326E-01 ,  5.00831876E-02 ,  5.24101245E-04 , -9.81043679E-03
      53 ,        4 ,  8.36415694E-01 ,  4.39802034E-02 , -3.74674173E-03 ,  5.83973161E-02
      54 ,        4 ,  8.73371827E-01 ,  3.80565077E-02 ,  2.98623643E-01 ,  6.49680280E-01
      55 ,        4 ,  9.06140300E-01 ,  3.26190633E-02 ,  6.32562289E-03 , -5.58804070E-01
      56 ,        4 ,  9.34402980E-01 ,  2.78468793E-02 , -5.87150125E-02 , -1.42955628E-01
      57 ,        4 ,  9.58013081E-01 ,  2.37089686E-02 ,  2.07423819E-02 ,  3.95109719E-02
      58 ,        4 ,  9.77141326E-01 ,  1.98586835E-02 ,  3.61961463E-03 ,  1.43529882E-01
      59 ,        4 ,  9.92327900E-01 ,  1.55232556E-02 ,  5.33486758E-02 ,  5.31249539E-02
      60 ,        4 ,  1.00433340E+00 ,  9.35984250E-03 , -9.90560872E-02 ,  2.39761907E-01
      61 ,        4 ,  1.00565241E+00 , -2.19981501E-04 , -7.30594243E-01 ,  5.64087653E-01
       1 ,        5 ,  1.00916203E+00 , -3.41929087E-04 ,  1.65192127E-01 , -7.74935844E-01
       2 ,        5 ,  1.00728356E+00 , -1.26818220E-02 , -1.36802825E-02 , -6.28197734E-02
       3 ,        5 ,  9.93414345E-01 , -2.01383976E-02 ,  9.36015274E-03 , -6.31568162E-03
       4 ,        5 ,  9.76956270E-01 , -2.44315829E-02 ,  6.41883879E-03 ,  1.33604175E-02
       5 ,        5 ,  9.57369727E-01 , -2.76628523E-02 ,  3.91110645E-03 ,  5.76860239E-03
