# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 8.50000000E-01 1.79018944E+00

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-1.06659854E-01  2.57518252E+01 -1.85140431E+02  2.57425883E+01  6.97869349E-01
# x y Cp Mach
 1.06565179E-01 -2.56873085E+01  1.84774701E+02 -2.56781002E+01 -6.95948502E-01
# x y Cp Mach
 1.00029861E+00 -1.77789845E-05  2.84285392E-01  3.93510783E-01
 1.00186617E+00 -8.39311588E-05  3.41681181E-01  3.90462480E-01
 1.00439376E+00 -1.76142925E-04  3.22546134E-01  4.14682751E-01
 1.00740722E+00 -2.80955294E-04  3.09080677E-01  4.38817534E-01
 1.01127000E+00 -4.12918117E-04  2.96275849E-01  4.61065268E-01
 1.01578111E+00 -5.60983436E-04  2.88961420E-01  4.82729852E-01
 1.02089675E+00 -7.19979994E-04  2.76923512E-01  5.02573341E-01
 1.02668810E+00 -8.88721065E-04  2.70059365E-01  5.20811739E-01
 1.03328874E+00 -1.06753735E-03  2.59364276E-01  5.37655666E-01
 1.04086483E+00 -1.25682361E-03  2.48555267E-01  5.53539117E-01
 1.04960768E+00 -1.45654085E-03  2.38297865E-01  5.68358016E-01
 1.05973411E+00 -1.66600985E-03  2.28079896E-01  5.82581256E-01
 1.07148910E+00 -1.88376569E-03  2.17099349E-01  5.96087021E-01
 1.08514993E+00 -2.10743429E-03  2.05784754E-01  6.09149828E-01
 1.10103131E+00 -2.33362311E-03  1.93973613E-01  6.21846553E-01
 1.11949140E+00 -2.55782431E-03  1.81990481E-01  6.34277514E-01
 1.14093876E+00 -2.77433754E-03  1.69679168E-01  6.46386501E-01
 1.16583993E+00 -2.97622701E-03  1.57060876E-01  6.58145438E-01
 1.19472783E+00 -3.15533328E-03  1.44340088E-01  6.69550630E-01
 1.22821063E+00 -3.30235975E-03  1.31612855E-01  6.80555624E-01
 1.26698113E+00 -3.40704663E-03  1.19033752E-01  6.91114070E-01
 1.31182655E+00 -3.45843097E-03  1.06701607E-01  7.01194077E-01
 1.36363870E+00 -3.44517347E-03  9.47079024E-02  7.10807638E-01
 1.42342484E+00 -3.35591673E-03  8.31394239E-02  7.19971542E-01
 1.49231954E+00 -3.17963019E-03  7.21169924E-02  7.28685271E-01
 1.57159807E+00 -2.90589698E-03  6.17439437E-02  7.36944259E-01
 1.66269191E+00 -2.52510770E-03  5.21285044E-02  7.44736529E-01
 1.76720702E+00 -2.02854074E-03  4.33589255E-02  7.52056563E-01
 1.88694553E+00 -1.40832607E-03  3.54945789E-02  7.58909852E-01
 2.02393134E+00 -6.57304068E-04  2.85665855E-02  7.65310311E-01
 2.18044029E+00  2.31198066E-04  2.25859567E-02  7.71275737E-01
 2.35903526E+00  1.26364831E-03  1.75177651E-02  7.76828318E-01
 2.56260685E+00  2.44662620E-03  1.32903290E-02  7.81992425E-01
 2.79442002E+00  3.78715287E-03  9.41180647E-03  7.86784759E-01
 3.05816742E+00  5.29302099E-03  6.48881948E-03  7.91492342E-01
 3.36422232E+00  6.94649337E-03  4.73501900E-03  7.95913525E-01
 3.71988513E+00  8.76923931E-03  2.67827336E-03  8.00179999E-01
 4.12692014E+00  1.08164338E-02  1.29779677E-03  8.04195374E-01
 4.59182621E+00  1.31121556E-02  2.79217926E-04  8.08004482E-01
 5.12242341E+00  1.56831454E-02 -4.49577938E-04  8.11601094E-01
 5.72772751E+00  1.85600525E-02 -9.39529940E-04  8.14984953E-01
 6.41806864E+00  2.17778421E-02 -1.29830296E-03  8.18171226E-01
 7.20525709E+00  2.53762756E-02 -1.50041803E-03  8.21144567E-01
 8.10278109E+00  2.94004851E-02 -1.71010862E-03  8.23953740E-01
 9.12603655E+00  3.39016436E-02 -1.86051716E-03  8.26586345E-01
 1.02925914E+01  3.89377355E-02 -2.25638368E-03  8.29142178E-01
 1.16224885E+01  4.45744387E-02 -3.12350811E-03  8.31889182E-01
 1.31385915E+01  5.08861316E-02 -7.05680971E-03  8.36545877E-01

# jlow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 3.92047174E-02  4.72423042E-01 -1.63647727E-01  4.70967723E-01  5.39438972E-02
# x y Cp Mach
 9.98630474E-01 -7.11144439E-05  4.76399614E-01  5.48406577E-01
 9.93167374E-01 -3.85402140E-04  4.27373674E-01  5.71517956E-01
 9.82301029E-01 -1.12551741E-03  4.04359380E-01  5.85542189E-01
 9.66150493E-01 -2.48517203E-03  3.85878229E-01  5.95814647E-01
 9.44892715E-01 -4.68813078E-03  3.61232158E-01  6.08503900E-01
 9.18760600E-01 -7.92511127E-03  3.26321562E-01  6.26836530E-01
 8.88040455E-01 -1.22940163E-02  2.78280740E-01  6.52026511E-01
 8.53068858E-01 -1.77571822E-02  2.15525207E-01  6.84524987E-01
 8.14228965E-01 -2.41256527E-02  1.38813999E-01  7.23846473E-01
 7.71946313E-01 -3.10745731E-02  5.93274575E-02  7.64962076E-01
 7.26684161E-01 -3.81869472E-02 -1.91743602E-02  8.04483636E-01
 6.78938409E-01 -4.50167202E-02 -1.08351158E-01  8.47381638E-01
 6.29232171E-01 -5.11578328E-02 -5.02419289E-01  1.05383041E+00
 5.78110039E-01 -5.63045012E-02 -6.51033594E-01  1.15160802E+00
 5.26132116E-01 -6.02898387E-02 -5.85759620E-01  1.11221196E+00
 4.73867884E-01 -6.30946484E-02 -5.35611264E-01  1.08380288E+00
 4.21889961E-01 -6.48247723E-02 -5.03384167E-01  1.06582983E+00
 3.70767829E-01 -6.56623339E-02 -4.90801128E-01  1.05879790E+00
 3.21061591E-01 -6.58020413E-02 -5.06967665E-01  1.06756137E+00
 2.73315839E-01 -6.53871297E-02 -5.32304157E-01  1.08163731E+00
 2.28053687E-01 -6.44597441E-02 -5.56866370E-01  1.09531056E+00
 1.85771035E-01 -6.29375211E-02 -5.72946380E-01  1.10403788E+00
 1.46931142E-01 -6.06224606E-02 -5.60157477E-01  1.09525478E+00
 1.11959545E-01 -5.72410927E-02 -5.09982640E-01  1.06405165E+00
 8.12394005E-02 -5.25079834E-02 -4.01840850E-01  1.00006707E+00
 5.51072846E-02 -4.61992956E-02 -2.05095955E-01  8.91099582E-01
 3.38495065E-02 -3.82206010E-02  1.09861354E-01  7.30657251E-01
 1.76989707E-02 -2.86540031E-02  5.17495076E-01  5.34013815E-01
 6.83262597E-03 -1.77737134E-02  1.05719712E+00  2.55368104E-01
 1.36952616E-03 -6.02567984E-03  1.28262036E+00  7.56688350E-02
 1.36952616E-03  3.24935891E-03  8.20218544E-01  4.29355386E-01
 6.83262597E-03  9.61424107E-03 -1.00004782E-01  7.48397113E-01
 1.76989707E-02  1.56012705E-02 -5.47549539E-01  9.80664766E-01
 3.38495065E-02  2.10321934E-02 -7.07860541E-01  1.09391918E+00
 5.51072846E-02  2.58221619E-02 -7.60506868E-01  1.13902820E+00
 8.12394005E-02  2.99867927E-02 -7.81836904E-01  1.15884758E+00
 1.11959545E-01  3.36270128E-02 -7.81104263E-01  1.16043686E+00
 1.46931142E-01  3.68949184E-02 -7.61612912E-01  1.14895524E+00
 1.85771035E-01  3.99480486E-02 -7.32525649E-01  1.13097130E+00
 2.28053687E-01  4.29020666E-02 -7.00259670E-01  1.11096533E+00
 2.73315839E-01  4.57922884E-02 -6.72259319E-01  1.09376298E+00
 3.21061591E-01  4.85527032E-02 -6.54201210E-01  1.08260828E+00
 3.70767829E-01  5.10174743E-02 -6.62113685E-01  1.08819657E+00
 4.21889961E-01  5.29451769E-02 -6.88294552E-01  1.10457820E+00
 4.73867884E-01  5.40612315E-02 -7.34566751E-01  1.13379456E+00
 5.26132116E-01  5.41101534E-02 -7.95708512E-01  1.17334361E+00
 5.78110039E-01  5.29071680E-02 -8.64423989E-01  1.21941612E+00
 6.29232171E-01  5.03788747E-02 -9.34467413E-01  1.26850708E+00
 6.78938409E-01  4.65849296E-02 -1.00023492E+00  1.31693849E+00
 7.26684161E-01  4.17166564E-02 -1.05729295E+00  1.36112715E+00
 7.71946313E-01  3.60732299E-02 -1.10273720E+00  1.39800860E+00
 8.14228965E-01  3.00205900E-02 -1.13567230E+00  1.42568206E+00
 8.53068858E-01  2.39415776E-02 -1.15147589E+00  1.44085189E+00
 8.88040455E-01  1.81872475E-02 -6.50916684E-01  9.19636258E-01
 9.18760600E-01  1.30386241E-02  9.49307159E-02  5.16656025E-01
 9.44892715E-01  8.68551985E-03  1.95128676E-01  4.56308641E-01
 9.66150493E-01  5.22504761E-03  2.48051469E-01  4.18191817E-01
 9.82301029E-01  2.67802597E-03  2.79596254E-01  3.98913414E-01
 9.93167374E-01  1.01759305E-03  2.83945405E-01  3.93359991E-01
 9.98630474E-01  2.01856675E-04  2.84285394E-01  3.93510779E-01

# jhigh
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 4.01982599E+00 -1.24062206E-01 -7.39184736E-03 -2.49579477E-01  4.01398836E+00
# x y Cp Mach
 1.39678080E+01 -6.15071863E-01  1.45907012E-01  6.50963160E-01
 1.39294455E+01 -1.96943182E+00  8.04462047E-02  7.44402704E-01
 1.37278136E+01 -3.34078788E+00  2.72129446E-02  8.15641665E-01
 1.33644920E+01 -4.70142659E+00 -9.44573950E-03  8.63490827E-01
 1.28448497E+01 -6.02651741E+00 -2.99498310E-02  8.90203385E-01
 1.21771776E+01 -7.29421174E+00 -3.73134815E-02  9.00275702E-01
 1.13719463E+01 -8.48559320E+00 -3.55985344E-02  8.98993556E-01
 1.04411878E+01 -9.58452989E+00 -2.87282155E-02  8.91289682E-01
 9.39799615E+00 -1.05774654E+01 -1.98425653E-02  8.81067203E-01
 8.25613689E+00 -1.14531771E+01 -1.10652116E-02  8.70957443E-01
 7.02975695E+00 -1.22025226E+01 -3.56870502E-03  8.62401757E-01
 5.73318225E+00 -1.28181942E+01  2.17718607E-03  8.55926287E-01
 4.38079108E+00 -1.32944934E+01  6.22710246E-03  8.51449254E-01
 2.98694990E+00 -1.36271390E+01  8.79953141E-03  8.48652668E-01
 1.56599707E+00 -1.38131160E+01  1.01078630E-02  8.47259664E-01
 1.32260156E-01 -1.38505716E+01  9.81513465E-03  8.47369384E-01
-1.29990848E+00 -1.37387615E+01  7.74192588E-03  8.49254868E-01
-2.71609265E+00 -1.34780464E+01  3.52627765E-03  8.53605820E-01
-4.10178493E+00 -1.30699369E+01 -3.50950271E-03  8.61464989E-01
-5.44238538E+00 -1.25171798E+01 -1.42276517E-02  8.74018155E-01
-6.72323972E+00 -1.18238771E+01 -2.94578610E-02  8.92321205E-01
-7.92972850E+00 -1.09956253E+01 -4.97545969E-02  9.17007569E-01
-9.04741571E+00 -1.00396569E+01 -7.51542450E-02  9.48017953E-01
-1.00622605E+01 -8.96496507E+00 -1.04970032E-01  9.84402782E-01
-1.09608895E+01 -7.78238806E+00 -1.37677073E-01  1.02424317E+00
-1.17309206E+01 -6.50463269E+00 -1.70954581E-01  1.06472597E+00
-1.23613188E+01 -5.14621544E+00 -2.01908435E-01  1.10238196E+00
-1.28427604E+01 -3.72330825E+00 -2.27451702E-01  1.13349025E+00
-1.31679736E+01 -2.25348413E+00 -2.44789605E-01  1.15463208E+00
-1.33320233E+01 -7.55369080E-01 -2.51903993E-01  1.16330335E+00
-1.33325106E+01  7.51780725E-01 -2.47950188E-01  1.15843289E+00
-1.31696650E+01  2.24854741E+00 -2.33406056E-01  1.14061763E+00
-1.28463192E+01  3.71582967E+00 -2.09995857E-01  1.11199602E+00
-1.23677701E+01  5.13529364E+00 -1.80352999E-01  1.07579332E+00
-1.17415420E+01  6.48976338E+00 -1.47563408E-01  1.03572528E+00
-1.09770780E+01  7.76352676E+00 -1.14667163E-01  9.95412662E-01
-1.00853918E+01  8.94254413E+00 -8.42316387E-02  9.57922656E-01
-9.07871036E+00  1.00145587E+01 -5.80825371E-02  9.25482800E-01
-7.97013680E+00  1.09691183E+01 -3.72519040E-02  8.99347899E-01
-6.77335477E+00  1.17975250E+01 -2.20684525E-02  8.79874988E-01
-5.50238786E+00  1.24927337E+01 -1.22511400E-02  8.66646494E-01
-4.17142055E+00  1.30492216E+01 -7.10426700E-03  8.58696574E-01
-2.79468016E+00  1.34628500E+01 -5.29393494E-03  8.54650659E-01
-1.38637395E+00  1.37307361E+01 -5.80784252E-03  8.53313889E-01
 3.93281014E-02  1.38511492E+01 -7.46393241E-03  8.53634646E-01
 1.46827686E+00  1.38234437E+01 -9.06424068E-03  8.54697509E-01
 2.88630724E+00  1.36480354E+01 -1.05442057E-02  8.56418702E-01
 4.27919529E+00  1.33264262E+01 -1.21966171E-02  8.59061585E-01
 5.63262357E+00  1.28612777E+01 -1.49119856E-02  8.63318996E-01
 6.93216934E+00  1.22565340E+01 -1.92683050E-02  8.69733896E-01
 8.16332991E+00  1.15175883E+01 -2.54607087E-02  8.78423851E-01
 9.31159911E+00  1.06514879E+01 -3.30859599E-02  8.88788139E-01
 1.03626081E+01  9.66716741E+00 -4.08706878E-02  8.99182091E-01
 1.13023431E+01  8.57569939E+00 -4.65027342E-02  9.06715923E-01
 1.21174507E+01  7.39054653E+00 -4.66899035E-02  9.07279793E-01
 1.27956419E+01  6.12779880E+00 -3.74477664E-02  8.95875755E-01
 1.33262013E+01  4.80637344E+00 -1.48857106E-02  8.67382216E-01
 1.37006114E+01  3.44815159E+00  2.36130727E-02  8.17673061E-01
 1.39132952E+01  2.07801636E+00  7.74396848E-02  7.43698868E-01
 1.39624787E+01  7.23744170E-01  1.35379753E-01  6.41745696E-01
